,ref,est,ref_size,perfect,yomi,miss
0,多少 / たばこ / の / 臭い / が / 気 / に / なっ / た / くらい / で / 後 / は / すべて / 気に入り / まし / た,多少 / タバコ / の / 臭い / が / 気 / に / なっ / た / くらい / で / 後 / は / すべて / 気に入り / まし / た,17,16,1,0
1,禁煙 / ルーム / の / 設定 / を / し / て / も / 良い / の / で / は / ない / でしょ / う / か,禁煙 / ルーム / の / 設定 / を / し / て / も / 良い / の / で / は / ない / でしょ / う / か,16,16,0,0
2,車 / で / の / 宿泊 / に / なる / の / です / が / 駐車 / 場 / は / 空い / て / ます / か,車 / で / の / 宿泊 / に / なる / の / です / が / 駐車 / 場 / は / 空い / て / ます / が,16,15,0,0
3,ホテル / は / 昔 / の / 旅館 / という / 感じ / で / ノスタルジック / です / が / 掃除 / が / 行き届い / て / い / て / とても / 清潔 / でし / た,ホテル / は / 昔 / の / 旅館 / という / 感じ / で / ノスタルジック / です / が / 掃除 / が / 行き届い / て / い / て / とても / 清潔 / でし / た,21,21,0,0
4,設備 / は / 少し / 古 / め / です / が / 手入れ / が / 行き届い / てる / ので,設備 / は / 少し / 古 / め / です / が / トイレ / が / 行き届い / てる / ので,12,11,0,0
5,の / 中 / から / お / 好み / の / 枕 / を / 選べる,何 / か / カラオケ / の / 目 / の / 枕 / を / 選べる,9,4,0,0
6,あまりの / も / 簡単 / に / 予約 / でき / まし / た / ので,あまりに / も / 簡単 / に / 予約 / でき / まし / た / ので,9,8,0,0
7,浅草 / セントラル / ホテル / 様 / の / おかげ / で / いい / 旅 / が / でき / まし / た,浅草 / セントラル / ホテル / 様 / の / おかげ / で / いい / 旅 / が / でき / まし / た,13,13,0,0
8,厚木 / の / 宿泊 / で / は / 必ず / 利用 / さ / せ / て / 頂い / て / おり / ます,お / 得 / な / 宿泊 / で / は / 必ず / 利用 / さ / せ / て / いただい / て / おり / ます,14,11,1,0
9,ありがとう / ござい / ます / とても / 快適 / な / 滞在 / でし / た,ありがとう / ござい / まし / た / でも / 快適 / な / 滞在 / でし / た,9,7,0,-1
10,次回 / 上田 / に / 出張 / し / た / 時 / に / も / 宿泊 / を / さ / せ / て / いただこ / う / と / 思い / ます / が / これ / は / 美味しく / ボリューム / ある / 朝食 / <num> / 円 / と / フロント / 及び / 朝食 / を / 支度 / し / て / くれ / た / 方 / の / 印象 / が / よかっ / た / こと / によります,次回 / 上田 / に / 出張 / し / た / 時 / に / も / 宿泊 / を / さ / せ / て / いただこ / う / と / 思い / ます / が / これ / は / 美味しく / ボリューム / ある / 朝食 / <num> / 円 / で / フロント / 及び / 朝食 / を / 指摘 / し / て / くれ / た / 方 / の / 印象 / が / 良かっ / た / こと / によります,46,43,1,0
11,今 / まで / ホテル / は / 安く / て / 清潔 / だっ / たら / どこ / でも / <eng> / だっ / た / の / です / が / ここ / に / 泊まる / と / もう / ほか / の / ホテル / は / 泊まれ / ませ / ん,今 / まで / ホテル / は / 安く / て / 清潔 / だっ / たら / どこ / でも / <eng> / だっ / た / の / です / が / ここ / に / 泊まる / と / もう / ほか / の / ホテル / は / 泊まれ / ませ / ん,29,29,0,0
12,照明 / も / 白熱 / 電球 / で / スタンド / も / 凝っ / て / い / て / 部屋 / の / 雰囲気 / が / 良かっ / た / です,照明 / も / 白熱 / 電球 / た / 時点 / で / 向かっ / て / い / た / 部屋 / の / 雰囲気 / が / 良かっ / た / です,18,13,0,0
13,でも / ホテル / 利用 / 者 / は / 駐車 / 場代 / は / 無料 / で / も / 良い / の / で / は,でも / ホテル / 利用 / 者 / は / 駐車 / 場代 / は / 無料 / で / も / 良い / の / で / は,15,15,0,0
14,朝 / <num> / 時 / 頃 / でも / 起こし / に / 来 / て / くれ / た,朝 / <num> / 時 / 頃 / でも / 飽き / ず / に / がっかり / だ,11,6,0,-3
15,もう少し / 地 / の / 厚い / もの / が / 良い / の / で / は / と / 思い / まし / た,もう少し / 他 / の / 移動 / も / なく / 良い / の / で / は / と / 思い / まし / た,14,10,0,0
16,が / チェックイン / の / 際 / に / お / 部屋 / を / 除 / 臭 / さ / せ / て / 頂き / まし / た / ので,が / チェックイン / の / 際 / に / お / 部屋 / を / 受賞 / さ / せ / て / いただき / まし / た / ので,17,14,1,-1
17,養殖 / の / 鮎 / は / 食べ / たく / ない / という / 私 / にとって / 天然 / 鮎 / の / 初物 / は / 感動 / でし / た,夕食 / の / お湯 / は / 食べ / たく / ない / という / 私 / にとって / 天然 / 鮎 / の / 初物 / は / 感動 / でし / た,18,16,0,0
18,<num> / 年 / 前 / に / も / 会社 / 関係 / で / 泊まっ / て / い / た / ので / ゴールデンウィーク / に / 今回 / は / 家族 / で / 利用 / し / まし / た,<num> / 年 / 前 / に / も / 会社 / 関係 / で / 泊まっ / て / い / た / ので / ゴールデンウィーク / に / 今回 / は / 家族 / で / 利用 / し / まし / た,23,23,0,0
19,また / 当日 / 食事 / 中 / に / 落雷 / が / あり / しばらく / 停電 / し / て / い / まし / た / が / すぐ / に / 仲居 / さん / が / 懐中 / 電灯 / を / 持っ / て / き / て / くれる / など / ハード / 面 / のみ / なら / ず / ソフト / 面 / で / も / ありがたい / 対応 / を / し / て / いただき / まし / た,また / 当日 / 食事 / 中 / に / 落雷 / が / あり / しばらく / 停電 / し / て / い / まし / た / が / すぐ / に / 仲居 / さん / が / 懐中 / 電灯 / を / もっ / て / き / て / くれる / など / ハード / 面 / に / も / 濡れ / ず / ソフト / 面 / で / も / ありがたい / 対応 / を / し / て / いただき / まし / た,47,44,1,-1
20,ツイン / の / 部屋 / は / とても / 広く / て / 大 / 満足 / でし / た,ツイン / の / 部屋 / は / とても / 広く / て / 大 / 満足 / でし / た,11,11,0,0
21,あと / 要望 / です / が / 他 / の / ホテル / と / 比較 / する / 時 / に / 値段 / や / 施設 / が / 一緒 / だっ / た / 場合 / キャンセル / 料 / が / 要ら / ない / 方 / を / 選ぶ / 場合 / が / 多い / ので / やはり / 万一 / の / 急用 / や / 体調 / 不良 / 時 / の / 旅行 / 中止 / を / 考え / て / 連絡 / なし / の / キャンセル / の / 場合 / のみ / キャンセル / 料 / を / 請求 / さ / れる / よう / に / し / たら / いかが / でしょ / う / か,あと / 要望 / です / が / 他 / の / ホテル / と / 比較 / する / と / この / 値段 / や / 施設 / が / 一緒 / だっ / た / 場合 / キャンセル / 料 / が / いら / ない / 方 / を / 選ぶ / 場合 / が / 多い / ので / やはり / 万一 / の / 共用 / や / 体調 / 不良 / 時 / の / 旅行 / で / 用事 / を / 考え / て / 連絡 / なし / の / キャンセル / の / 場合 / のみ / キャンセル / 料 / を / 請求 / さ / れる / よう / に / し / たら / いかが / でしょ / う / か,67,62,1,-1
22,冬 / で / も / 送風 / 冷房 / に / 変更 / できる / と / よい / です,部屋 / で / も / 送風 / 冷房 / に / 変更 / できる / と / 良い / です,11,9,1,0
23,きれい / な / 布 / 張り / の / いす / が / ある / の / も / いい / です / ね,きれい / な / のに / 風呂 / の / 椅子 / が / ある / の / も / いい / です / ね,13,10,1,0
24,近く / の / 居酒屋 / に / 行っ / て / 外人 / さん / と / お / 友達 / に / なり / 楽しく / 過ごし / て / これぞ / 国際 / 交流 / センター / に / 宿泊 / し / た / こと / は / あっ / た / な / と / 思っ / て / おり / まし / た,近く / の / 居酒屋 / に / 行っ / た / 外人 / さん / と / お / 友達 / に / なり / 楽しく / 過ごし / て / これぞ / 国際 / 交流 / センター / の / 宿泊 / し / た / こと / は / あっ / た / ので / 思っ / て / おり / まし / た,35,31,0,-1
25,夕方 / ロビー / に / 黒 / ずくめ / の / ホテル / マン / が / 歩行 / の / じゃま / に / なる / ぐらい / うろうろ / し / て / い / た / の / は / 何 / だろ / う / か,夕方 / ロビー / に / 黒 / ずくめ / の / ホテル / マン / が / 低い / の / 邪魔 / に / なる / ぐらい / うろうろ / し / て / い / た / の / は / 何 / だろ / う / か,26,24,1,0
26,<num> / 月 / <num> / 日 / に / 宿泊 / し / まし / た,<num> / 月 / <num> / 日 / に / 宿泊 / し / まし / た,9,9,0,0
27,広く / て / 気持ち / の / 良い / お / 部屋 / で / 大変 / リラックス / でき / まし / た,広く / て / 気持ち / の / 良い / お / 部屋 / で / 大変 / リラックス / でき / まし / た,13,13,0,0
28,苦情 / と / いう / ほど / の / こと / で / も / ない / の / です / が,苦情 / という / 程 / の / こと / で / も / ない / の / です / が,12,9,1,-1
29,月 / <num> / 回 / 程度 / の / 割合 / で / 高松 / へ / 出張 / し / て / 様々 / な / ホテル / を / 利用 / し / て / いる / が / 総合 / 的 / 設備 / サービス / 値段 / 等 / に / 見れ / ば / 最高 / 点 / が / つい / て / も / おかしく / ない / ホテル / だ / と / 思う,月 / <num> / 回 / 程度 / の / 割合 / で / 高松 / へ / 出張 / し / て / 様々 / な / ホテル / を / 利用 / し / て / いる / が / 総合 / 的 / 設備 / サービス / 値段 / 等 / に / 見れ / ば / 最高 / 点 / 気付い / て / も / おかしく / ない / ホテル / だ / と / 思う,42,40,0,-1
30,まず / フロント / に / <eng> / が / 置い / て / あっ / て / おやっ / と / 思い / まし / た,まず / フロント / の / <eng> / が / 置い / て / あっ / て / 嫌 / だ / と / 思い / まし / た,14,12,0,-1
31,最初 / は / 自分 / の / 利用 / する / 駅 / が / 近い / から / という / 理由 / だけ / で / 選び / まし / た / が / 実際 / に / 宿泊 / し / て / み / て / これから / も / 毎回 / 利用 / さ / せ / て / 頂こ / う / と / 思い / 今回 / も / 宿泊 / さ / せ / て / 頂き / まし / た,最初 / は / 自分 / の / 利用 / 時 / 廊下 / が / 近い / から / という / 理由 / だけ / で / 選び / まし / た / が / 実際 / に / 宿泊 / し / て / また / これから / も / 毎回 / 利用 / さ / せ / て / いただこ / う / と / 思い / 今回 / も / 宿泊 / さ / せ / て / いただき / まし / た,45,39,2,-1
32,子供 / も / とても / 喜ん / で / また / 泊まり / たい,子供 / も / とても / 喜ん / で / また / 泊まり / たい,8,8,0,0
