,sentence,traditional,pair_wise,col_num_all,col_num_sq
0,多少/タショウ たばこ/タバコ の/ノ 臭い/ニオイ が/ガ 気/キ に/ニ なっ/ナッ た/タ くらい/クライ で/デ 後/ノチ は/ハ すべて/スベテ 気に入り/キニイリ まし/マシ た/タ,150,115,103,53
1,禁煙/キンエン ルーム/ルーム の/ノ 設定/セッテイ を/ヲ し/シ て/テ も/モ 良い/ヨイ の/ノ で/デ は/ハ ない/ナイ でしょ/デショ う/ウ か/カ,166,116,110,48
2,車/クルマ で/デ の/ノ 宿泊/シュクハク に/ニ なる/ナル の/ノ です/デス が/ガ 駐車/チュウシャ 場/ジョウ は/ハ 空い/アイ て/テ ます/マス か/カ,154,104,109,57
3,ホテル/ホテル は/ハ 昔/ムカシ の/ノ 旅館/リョカン という/トイウ 感じ/カンジ で/デ ノスタルジック/ノスタルジック です/デス が/ガ 掃除/ソウジ が/ガ 行き届い/イキトドイ て/テ い/イ て/テ とても/トテモ 清潔/セイケツ でし/デシ た/タ,251,201,150,76
4,設備/セツビ は/ハ 少し/スコシ 古/コ め/メ です/デス が/ガ 手入れ/テイレ が/ガ 行き届い/イキトドイ てる/テル ので/ノデ,125,100,70,38
5,の/ノ 中/ナカ から/カラ お/オ 好み/コノミ の/ノ 枕/マクラ を/ヲ 選べる/エラベル,110,70,78,38
6,あまりの/アマリノ も/モ 簡単/カンタン に/ニ 予約/ヨヤク でき/デキ まし/マシ た/タ ので/ノデ,117,77,87,37
7,浅草/アサクサ セントラル/セントラル ホテル/ホテル 様/サマ の/ノ おかげ/オカゲ で/デ いい/イイ 旅/タビ が/ガ でき/デキ まし/マシ た/タ,136,96,92,48
8,厚木/アツギ の/ノ 宿泊/シュクハク で/デ は/ハ 必ず/カナラズ 利用/リヨウ さ/サ せ/セ て/テ 頂い/イタダイ て/テ おり/オリ ます/マス,135,95,94,50
9,ありがとう/アリガトウ ござい/ゴザイ ます/マス とても/トテモ 快適/カイテキ な/ナ 滞在/タイザイ でし/デシ た/タ,93,78,57,29
